Database;Author;Year;Journal;Article Title;Keyword Found;Link to pdf;Is it a revelvant academic journal paper?;Reason;Is it not a duplicate?;Reason;Is it still relevant after reading At & KW & C?;Reason;Is it still relevant after reading the whole article?;Reason;Description
Google Scholar;Su et al.;2019;IEEE Transactions on Industrial Informatics;An edge intelligence empowered recommender system enabling cultural heritage applications;Edge Intelligence;https://sci-hub.st/10.1109/tii.2019.2908056;1;;1;;1;;0;Approach based on cloud computing architecture;
Google Scholar;Chen et al.;2019;IEEE Access;Internet of Things based smart grids supported by intelligent edge computing;Intelligent Edge;https://sci-hub.st/10.1109/access.2019.2920488;1;;1;;1;;0;Architecture includes cloud computing layer;
Google Scholar;Zhang, Y et al. ;2019;IEEE Network;Edge intelligence in the cognitive Internet of Things: Improving sensitivity and interactivity;Edge Intelligence;https://sci-hub.st/10.1109/mnet.2019.1800344;1;;1;;1;;1;;Cognitive Computing
Google Scholar;Zhang, W et al.;2019;IEEE Transactions on Industrial Informatics;MASM: A multiple-algorithm service model for energy-delay optimization in edge artificial intelligence;Edge Artificial Intelligence;https://sci-hub.st/10.1109/tii.2019.2897001;1;;1;;0;Mainly energy-delay optimization model;;;
Google Scholar;Cao et al.;2015;BOOK: Proceedings of the 2015 Workshop on Mobile Big Data;Distributed analytics and edge intelligence: Pervasive health monitoring at the era of fog computing;Edge Intelligence;https://sci-hub.st/10.1145/2757384.2757398;1;;1;;0;Architecture includes cloud computing layer;;;
Google Scholar;Zhang, Yushu et al.;2019;IEEE Network;Serious challenges and potential solutions for the industrial Internet of Things with edge intelligence;Edge Intelligence;https://sci-hub.st/10.1109/mnet.001.1800478;1;;1;;1;;1;;Data authentication mechanisms, Privacy
Google Scholar;Muhammad, K et al.;2019;IEEE Transactions on Industrial Informatics;Edge intelligence-assisted smoke detection in foggy surveillance environments;Edge Intelligence;https://sci-hub.st/10.1109/tii.2019.2915592;1;;1;;1;;1;;Smoke detection system, CNN
Google Scholar;Yazici, M et al.;2018;Big data and cognitive computing;Edge machine learning: Enabling smart internet of things applications;Edge Machine Learning;https://sci-hub.st/10.3390/bdcc2030026;1;;1;;1;;1;;machine learning algorithms on an IoT edge device
Google Scholar;Shi, Y et al.;2020;Preprint: IEEE Communications Surveys & Tutorials ;Communication-efficient edge AI: Algorithms and systems;Edge AI;https://sci-hub.st/10.1109/comst.2020.3007787;1;;1;;1;;1;;Algorithms, Systems for communication efficiency
Google Scholar;Li, L et al.;2018;IEEE Network;DeepNFV: A lightweight framework for intelligent edge network functions virtualization;Intelligent Edge;https://sci-hub.do/10.1109/mnet.2018.1700394;1;;1;;1;;1;;Virtualisation
Google Scholar;Rausch, T et al.;2019;BOOK: 2nd {USENIX} Workshop on Hot Topics in Edge Computing (HotEdge 19);Towards a serverless platform for edge {AI};Edge AI;https://www.usenix.org/system/files/hotedge19-paper-rausch.pdf;1;;1;;1;;1;;Edge AI Pipeline
Google Scholar;Mills, J et al.;2019;IEEE Internet of Things Journal;Communication-efficient federated learning for wireless edge intelligence in iot;Edge Intelligence;https://ore.exeter.ac.uk/repository/bitstream/handle/10871/39842/FINAL_VERSION_IoT_Journal.pdf?sequence=1&isAllowed=n;1;;1;;1;;1;;Federated Learning
Google Scholar;Zhang, X et al.;2019;BOOK: 2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS);OpenEI: An open framework for edge intelligence;Edge Intelligence;https://arxiv.org/pdf/1906.01864.pdf;1;;1;;1;;0;Training on Cloud;
Google Scholar;Yang, B et al;2019;IEEE Network;CUE: An intelligent edge computing framework;Intelligent Edge;https://sci-hub.st/10.1109/mnet.2019.1800316;1;;1;;0;Edge computing;;;
Google Scholar;Flamand, E et al.;2018;BOOK: 2018 IEEE 29th International Conference on Application-specific Systems, Architectures and Processors (ASAP);GAP-8: A RISC-V SoC for AI at the Edge of the IoT;AI at the Edge;KEIN ZUGRIFF;0;NO ACCESS;;;;;;;
Google Scholar;Islam, S et al.;2010;Future Internet;Network edge intelligence for the emerging next-generation internet;Edge Intelligence;https://sci-hub.st/10.3390/fi2040603;1;;1;;0;Edge computing;;;
Google Scholar;Maier, M et al.;2019;IEEE/OSA Journal of Optical Communications and Networking;Towards immersive Tactile Internet experiences: Low-latency FiWi enhanced mobile networks with edge intelligence;Edge Intelligence;https://www.osapublishing.org/DirectPDFAccess/B9E4398E-B85E-4F08-9EC757700DE1E352_407181/jocn-11-4-B10.pdf?da=1&id=407181&seq=0&mobile=no;1;;1;;1;;0;Main topic: Tacticle Internet, mostly research methods explained;
Google Scholar;Wang, F et al.;2019;BOOK: IEEE INFOCOM 2019-IEEE Conference on Computer Communications;Intelligent edge-assisted crowdcast with deep reinforcement learning for personalized QoE;Intelligent Edge;https://sci-hub.st/10.1109/infocom.2019.8737456;1;;1;;1;;1;;Crowdcast application, deep reinforcement learning
Google Scholar;Alonso, R et al.;2020;Ad Hoc Networks;An intelligent Edge-IoT platform for monitoring livestock and crops in a dairy farming scenario;Intelligent Edge;https://sci-hub.st/10.1016/j.adhoc.2019.102047;1;;1;;1;;1;;Cattle monitor application, machine learning on the edge
Google Scholar;Meloni, A et al.;2018;Computer Networks;Cloud-based IoT solution for state estimation in smart grids: Exploiting virtualization and edge-intelligence technologies;Edge Intelligence;https://www.researchgate.net/profile/Alessio_Meloni/publication/320806141_Cloud-based_IoT_solution_for_State_Estimation_in_Smart_Grids_exploiting_virtualization_and_edge-intelligence_technologies/links/5a04db18aca2726b4c72d900/Cloud-based-IoT-solution-for-State-Estimation-in-Smart-Grids-exploiting-virtualization-and-edge-intelligence-technologies.pdf;1;;1;;0;Device-edge-cloud synergy;;;
Google Scholar;Xu, S et al.;2019;IEEE Transactions on Network Science and Engineering;Data-driven edge intelligence for robust network anomaly detection;Edge Intelligence;https://sci-hub.st/10.1109/tnse.2019.2936466;1;;1;;1;;1;;
Google Scholar;Plastiras, G et al.;2018;BOOK: 2018 IEEE 29th International Conference on Application-specific Systems, Architectures and Processors (ASAP);Edge intelligence: Challenges and opportunities of near-sensor machine learning applications;Edge Intelligence;https://www.researchgate.net/profile/George_Plastiras/publication/327265258_Edge_Intelligence_Challenges_and_Opportunities_of_Near-Sensor_Machine_Learning_Applications/links/5c084eed92851c39ebd6160e/Edge-Intelligence-Challenges-and-Opportunities-of-Near-Sensor-Machine-Learning-Applications.pdf;1;;1;;1;;1;;
Google Scholar;Huang, Z et al.;2018;Future Generation Computer Systems;Building edge intelligence for online activity recognition in service-oriented IoT systems;Edge Intelligence;https://sci-hub.st/10.1016/j.future.2018.03.003;1;;1;;1;;1;;ACTIVITY RECOGNITION
Google Scholar;Liu, D et al.;2020;IEEE Transactions on Cognitive Communications and Networking;Data-importance aware user scheduling for communication-efficient edge machine learning;Edge Machine Learning;https://sci-hub.st/10.1109/tccn.2020.2999606;1;;1;;1;;1;;communication efficiency, Model training, data selection and reduction
Google Scholar;Chien, W et al.;2019;IEEE Transactions on Industrial Informatics;Dynamic resource prediction and allocation in C-RAN with edge artificial intelligence;Edge Artificial Intelligence;https://sci-hub.st/10.1109/tii.2019.2913169;1;;1;;0;Device-edge-cloud synergy;;;
Google Scholar;Yuan, B et al.;2019;IEEE Transactions on Industrial Informatics;An inductive content-augmented network embedding model for edge artificial intelligence;Edge Artificial Intelligence;https://sci-hub.st/10.1109/tii.2019.2902877;1;;1;;1;;1;;Data reduction
Google Scholar;Ning, Z et al.;2020;IEEE Transactions on Intelligent Transportation Systems;Intelligent Edge Computing in Internet of Vehicles: A Joint Computation Offloading and Caching Solution;Intelligent Edge;https://www.researchgate.net/profile/Zhaolong_Ning2/publication/341606133_Intelligent_Edge_Computing_in_Internet_of_Vehicles_A_Joint_Computation_Offloading_and_Caching_Solution/links/5ec9e0b8299bf1c09ad988ea/Intelligent-Edge-Computing-in-Internet-of-Vehicles-A-Joint-Computation-Offloading-and-Caching-Solution.pdf;1;;1;;1;;0;Computation offloading to cloud;
Google Scholar;Lee, Y et al.;2018;BOOK: 2018 International Symposium on VLSI Design, Automation and Test (VLSI-DAT);Techology trend of edge AI;Edge AI;KEIN ZUGRIFF;0;NO ACCESS;;;;;;;
Google Scholar;Yu, S et al.;2020;IEEE Wireless Communications;Intelligent edge: Leveraging deep imitation learning for mobile edge computation offloading;Intelligent Edge;https://sci-hub.st/10.1109/mwc.001.1900232;1;;1;;0;Computation offloading to cloud;;;
Google Scholar;Zeng, L et al.;2019;IEEE Network;Boomerang: On-demand cooperative deep neural network inference for edge intelligence on the industrial Internet of Things;Edge Intelligence;https://sci-hub.st/10.1109/mnet.001.1800506;1;;1;;1;;1;;IIoT, Execution DNN inference tasks on edge
Google Scholar;Queralta, J P et al.;2019;BOOK: 2019 42nd International Conference on Telecommunications and Signal Processing (TSP);Edge-AI in LoRa-based health monitoring: fall detection system with fog computing and LSTM recurrent neural networks;Edge AI;https://tiers.utu.fi/static/papers/tsp2019.pdf;1;;1;;1;;1;;LPWAN, DLA (lightweight analysis algorithms), Application: Health monitoring
Google Scholar;Xu, D et al.;2020;Preprint: arXiv preprint arXiv:2003.12172;"A Survey on Edge Intelligence/Edge Intelligence: Architectures, Challenges, and Applications";Edge Intelligence;https://arxiv.org/pdf/2003.12172.pdf;1;;1;;1;;1;;Survey, Training, Caching, Inference, Offloading
Google Scholar;Zhang, T et al.;2020;IEEE Internet of Things Journal;Achieving Democracy in Edge Intelligence: A Fog-based Collaborative Learning Scheme;Edge Intelligence;https://sci-hub.st/10.1109/jiot.2020.3020911;1;;1;;1;;1;;collaborative learning scheme to train models on edge/fog
Google Scholar;Wang, D et al.;2019;BOOK: 2019 IEEE First International Conference on Cognitive Machine Intelligence (CogMI);Social edge intelligence: Integrating human and artificial intelligence at the edge;Edge Intelligence/Artificial Intelligence at the Edge;https://www.researchgate.net/profile/Md_Tahmid_Rashid/publication/339331911_Social_Edge_Intelligence_Integrating_Human_and_Artificial_Intelligence_at_the_Edge/links/5e684964299bf1744f72c7ea/Social-Edge-Intelligence-Integrating-Human-and-Artificial-Intelligence-at-the-Edge.pdf;1;;1;;1;;1;;Social Edge Intelligence Application
Google Scholar;Peltonen, E et al.;2020;Preprint: arXiv preprint arXiv:2004.14850;6G White Paper on Edge Intelligence;Edge Intelligence;https://arxiv.org/pdf/2004.14850;0;NOT A JOURNAL PAPER;;;;;;;
Google Scholar;Tariq, UU et al.;2019;ACM Transactions on Intelligent Systems and Technology (TIST);Energy-efficient static task scheduling on VFI-based NoC-HMPSoCs for intelligent edge devices in cyber-physical systems;Intelligent Edge ;http://repository.essex.ac.uk/24886/1/acm%20tist.pdf;1;;1;;0;Mainly network reliability;;;
Google Scholar;Dai, Y et al.;2020;IEEE Transactions on Vehicular Technology;Edge Intelligence for Energy-efficient Computation Offloading and Resource Allocation in 5G Beyond;Edge Intelligence;https://sci-hub.st/10.1109/tvt.2020.3013990;1;;1;;0;Computation offloading to cloud;;;
Google Scholar;Xu, S et al.;2020;IEEE Network;Edge Intelligence Assisted Gateway Defense in Cyber Security;Edge Intelligence;https://sci-hub.st/10.1109/mnet.011.1900407;1;;1;;1;;1;;edge intelligence assisted gateway defense
Google Scholar;Tang, H et al.;2019;IEEE Internet of Things Journal;A reconfigurable method for intelligent manufacturing based on industrial cloud and edge intelligence;Edge Intelligence;https://sci-hub.st/10.1109/jiot.2019.2950048;1;;1;;0;Cloud assisted architecture;;;
Google Scholar;Yang, H et al.;2019;IEEE Transactions on Industrial Informatics;An efficient edge artificial intelligence multipedestrian tracking method with rank constraint;Edge Artificial Intelligence;KEIN ZUGRIFF;0;NO ACCESS;;;;;;;
Google Scholar;Rausch, T et al.;2019;BOOK: 2019 IEEE International Conference on Cloud Engineering (IC2E);Edge intelligence: The convergence of humans, things, and ai;Edge Intelligence;https://dsg.tuwien.ac.at/team/trausch/pub/ic2e19-edge-intelligence.pdf;1;;1;;1;;1;;Edge intelligence use cases and architectures
Google Scholar;Zhang, D et al.;2019;BOOK: 2019 IEEE Real-Time Systems Symposium (RTSS);Edgebatch: Towards ai-empowered optimal task batching in intelligent edge systems;Intelligent Edge;http://dyzhang.net/proj-images/rtss.pdf;1;;1;;0;GPU batching strategy for edges;;;
Google Scholar;Mazzia, V et al.;2020;IEEE Access;Real-Time Apple Detection System Using Embedded Systems With Hardware Accelerators: An Edge AI Application;Edge AI;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8951147;1;;1;;1;;1;;Apple detection, YOLOv3- tiny architecture
Google Scholar;Keshavarzi, A et al.;2019;IEEE Design & Test;Edge intelligence- On the challenging road to a trillion smart connected IoT devices;Edge Intelligence;https://sci-hub.st/10.1109/mdat.2019.2899075;1;;1;;1;;1;;EI vision
Google Scholar;Gia, TN et al.;2019;BOOK: Proc. IEEE AFRICON;Edge AI in smart farming IoT: CNNs at the edge and fog computing with LoRa;Edge AI;https://sci-hub.st/10.1109/africon46755.2019.9134049;1;;1;;1;;0;Architecture includes Cloud layer;
Google Scholar;Zhang, S et al.;2018;BOOK: 2018 IEEE 15th International Conference on Mobile Ad Hoc and Sensor Systems (MASS);Enabling edge intelligence for activity recognition in smart homes;Edge Intelligence;https://sci-hub.st/10.1109/mass.2018.00044;1;;1;;1;;1;;Edge-based smart home architecture, Application Activity recognition
Google Scholar;Lv, Z et al.;2020;Future Generation Computer Systems;Intelligent edge computing based on machine learning for smart city;Intelligent Edge;https://sci-hub.st/10.1016/j.future.2020.08.037;1;;1;;0;Scheduling policies for edges;;;
Google Scholar;Ke, R et al.;2020;IEEE Transactions on Intelligent Transportation Systems;A Smart, Efficient, and Reliable Parking Surveillance System with Edge Artificial Intelligence on IoT Devices;Edge Artificial Intelligence;https://sci-hub.st/10.1109/tits.2020.2984197;1;;1;;0;Computation offloading to the cloud;;;
Google Scholar;Lv, Z et al.;2020;IEEE Transactions on Intelligent Transportation Systems;Diversified Technologies in Internet of Vehicles Under Intelligent Edge Computing;Intelligent Edge;https://sci-hub.st/10.1109/tits.2020.3019756;1;;1;;1;;1;;Caching, Reduce Energy consumption, Application: IoV
Google Scholar;Al-Rakhami, M et al.;2018;BOOK: 2018 IEEE 16th Intl Conf on Dependable, Autonomic and Secure Computing, 16th Intl Conf on Pervasive Intelligence and Computing, 4th Intl Conf on Big Data Intelligence and Computing and Cyber Science and Technology Congress (DASC/PiCom/DataCom/CyberSciTech);Cost efficient edge intelligence framework using docker containers;Edge Intelligence;https://sci-hub.st/10.1109/dasc/picom/datacom/cyberscitec.2018.00138;1;;1;;0;Device-edge-cloud synergy;;;
Google Scholar;Das, H et al. ;2018;BOOK: Springer;Cloud Computing for Geospatial Big Data Analytics: Intelligent Edge, Fog and Mist Computing;Intelligent Edge;KEIN ZUGRIFF;0;NO ACCESS;;;;;;;
Google Scholar;Elgazar, A et al.;2018;BOOK: 2018 6th IEEE International Conference on Mobile Cloud Computing, Services, and Engineering (MobileCloud);Towards intelligent edge storage management: Determining and predicting mobile file popularity;Intelligent Edge;https://sci-hub.st/10.1109/mobilecloud.2018.00012;1;;1;;0;Mainly storage management and offloading;;;
Google Scholar;Stojanovic, L et al.;2020;BOOK: Springer;Intelligent edge processing;Intelligent Edge;KEIN ZUGRIFF;0;NO ACCESS;;;;;;;
Google Scholar;Wen, D et al.;2019;Journal of Communications and Information Networks;An overview of data-importance aware radio resource management for edge machine learning;Edge Machine Learning;https://ieeexplore.ieee.org/iel7/8892389/9005366/09005429.pdf;1;;1;;1;;1;;high-dimensional data from many edge devices to train models --> bottleneck, solved by: data-importance aware RRM
Google Scholar;Ren, L et al.;2019;IEEE Transactions on Network Science and Engineering;Coding-based large-scale task assignment for industrial edge intelligence;Edge Intelligence;https://sci-hub.st/10.1109/tnse.2019.2942042;1;;1;;0;Mainly task assignment problem;;;
Google Scholar;Pettit, Justin;2014;PRESENTATION: OpenStack Summit;Open vSwitch and the Intelligent Edge;Intelligent Edge;https://www.openvswitch.org/support/slides/OpenStack-140513.pdf;0;PRESENTATION SLIDES;;;;;;;
Google Scholar;Sirojan, T et al.;2017;BOOK: 2017 IEEE Innovative Smart Grid Technologies-Asia (ISGT-Asia);Intelligent edge analytics for load identification in smart meters;Intelligent Edge;https://www.researchgate.net/profile/Tharmakulasingam_Sirojan/publication/325702173_Intelligent_edge_analytics_for_load_identification_in_smart_meters/links/5b277f44aca2723fbeef5dba/Intelligent-edge-analytics-for-load-identification-in-smart-meters.pdf;1;;1;;0;Mainly classification task explanation;;;
Google Scholar;Nawaz, A et al. ;2019;BOOK: 2019 Twelfth International Conference on Mobile Computing and Ubiquitous Network (ICMU);Edge AI and blockchain for privacy-critical and data-sensitive applications;Edge AI;https://tiers.utu.fi/static/papers/Nawaz2019edgeAIBlockchain.pdf;1;;1;;1;;0;Data is stored on blockchain cloud (architecture;
Google Scholar;Qureshi, KN et al.;2020;Engineering Applications of Artificial Intelligence;Trust management and evaluation for edge intelligence in the Internet of Things;Edge Intelligence;https://sci-hub.st/10.1016/j.engappai.2020.103756;1;;1;;1;;1;;Malicious nodes identification
Google Scholar;Bazrafkan, S et al.;2018;IEEE Consumer Electronics Magazine;Pushing the AI envelope: merging deep networks to accelerate edge artificial intelligence in consumer electronics devices and systems;Edge Artificial Intelligence;https://www.library.ucg.ie/bitstream/handle/10379/14583/CEMag_Novenber2017_pc03_sb02.pdf?sequence=1&isAllowed=y;1;;1;;0;No conclusion, explanation of a dnn network;;;
Google Scholar;Mukherjee, M et al.;2020;IEEE Communications Magazine;Intelligent Edge Computing: Security and Privacy Challenges;Intelligent Edge ;KEIN ZUGRIFF;0;NO ACCESS;;;;;;;
Google Scholar;Zhang, Y et al. ;2020;Engineering Applications of Artificial Intelligence;Distributed gas concentration prediction with intelligent edge devices in coal mine;Intelligent Edge;http://bigdata.ahu.edu.cn/upload/202004181232193xus82n5pcieufub3rnsu8r4p8v0lhxw.pdf;1;;1;;1;;1;;gas concentrations, distributed training and prediction
Google Scholar;Wang, Q et al.;2020;IEEE Internet of Things Journal;AI at the Edge: Blockchain-Empowered Secure Multiparty Learning with Heterogeneous Models;AI at the Edge;https://sci-hub.st/10.1109/jiot.2020.2987843;1;;1;;1;;1;;Decentralized Multiparty Learning Structure
Google Scholar;Liu, Y et al.;2020;IEEE Internet of Things Journal;Toward Edge Intelligence: Multiaccess Edge Computing for 5G and Internet of Things;Edge Intelligence;https://www.researchgate.net/profile/Yaqiong_Liu/publication/342402668_Towards_Edge_Intelligence_Multi-Access_Edge_Computing_for_5G_and_Internet_of_Things/links/5ef44f184585153fb1b3ba32/Towards-Edge-Intelligence-Multi-Access-Edge-Computing-for-5G-and-Internet-of-Things.pdf;1;;1;;1;;1;;Multiaccess edge computing, edge intelligence use cases
Google Scholar;Uddin, MZ et al.;2020;Engineering Applications of Artificial Intelligence;Emotion recognition using speech and neural structured learning to facilitate edge intelligence;Edge Intelligence;https://sci-hub.st/10.1016/j.engappai.2020.103775;1;;1;;1;;0;Mainly training and predicting of emotion recognition system;
Google Scholar;Wang, S et al. ;2020;BOOK: ICC 2020-2020 IEEE International Conference on Communications (ICC);Learning Centric Power Allocation for Edge Intelligence;Edge Intelligence;https://arxiv.org/pdf/2007.11399;1;;1;;1;;1;;"centric power allocation (LCPA)"
Google Scholar;Fang, D et al.;2020;Computer Communications;Edge intelligence based Economic Dispatch for Virtual Power Plant in 5G Internet of Energy;Edge Intelligence;https://sci-hub.st/10.1016/j.comcom.2019.12.021;1;;1;;1;;0;3 Layer teer with cloud;
Google Scholar;An, Y et al.;2020;IEEE Internet of Things Journal;Edge Intelligence (EI)-Enabled HTTP Anomaly Detection Framework for the Internet of Things (IoT);Edge Intelligence;https://sci-hub.st/10.1109/jiot.2020.3024645;1;;1;;;;;;
Google Scholar;Jia, Y et al.;2020;IEEE Internet of Things Journal;FlowGuard: An Intelligent Edge Defense Mechanism Against IoT DDoS Attacks;Intelligent Edge;https://sci-hub.st/10.1109/jiot.2020.2993782;1;;1;;0;Not trained on edge, IoT DDoS attacks;;;
Google Scholar;Gia, TN et al.;2019;BOOK: International Conference on Wireless Mobile Communication and Healthcare;Artificial Intelligence at the Edge in the Blockchain of Things;Artificial Intelligence at the Edge;https://www.researchgate.net/profile/Tuan_Nguyen_Gia2/publication/337819215_Artificial_Intelligence_at_the_Edge_in_the_Blockchain_of_Things/links/5debb8b992851c83646b5cf7/Artificial-Intelligence-at-the-Edge-in-the-Blockchain-of-Things.pdf;1;;1;;1;;0;Proposed architecture involves Cloud to store data;
Google Scholar;Debauche, O et al.;2020;Procedia Computer Science;Edge ai-iot pivot irrigation, plant diseases and pests identification;Edge AI;https://orbi.uliege.be/bitstream/2268/250068/3/EUSPN_20___Pivot_Center_IoT_IA___Camera_Ready.pdf;1;;1;;1;;0;Proposed architecture involves Cloud to compute data;
Google Scholar;Byun, Y et al.;2019;BOOK: 2019 Design, Automation & Test in Europe Conference & Exhibition (DATE);Low-complexity dynamic channel scaling of noise-resilient CNN for intelligent edge devices;Intelligent Edge;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8715280&casa_token=5FzOSg_E5hwAAAAA:9hGkX0MYwD5n9BmhceAIdVAyCPWvYaLAti6kspFE775OgSmrXnz5pt7MxO1rhYsCPtzasnEuJw;1;;1;;1;Description of a CNN network;;;
Google Scholar;Marculescu, R et al.;2020;BOOK: Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery \& Data Mining;Edge AI: Systems Design and ML for IoT Data Analytics;Edge AI;KEIN ZUGRIFF;0;NO ACCESS;;;;;;;
Google Scholar;Chaabouni, N et al. ;2019;BOOK: International Conference on Ad-Hoc Networks and Wireless;An Intrusion Detection System for the OneM2m Service Layer based on Edge Machine Learning;Edge Machine Learning;KEIN ZUGRIFF;0;NO ACCESS;;;;;;;
Google Scholar;Tang, X et al. ;2020;IEEE Internet of Things Journal;Joint Multi-User DNN Partitioning and Computational Resource Allocation for Collaborative Edge Intelligence;Edge Intelligence;https://arxiv.org/pdf/2007.09072.pdf;1;;1;;1;;1;;DNN Partitioning and computiation offloading to edge servers
Google Scholar;Qasim, M et al.;2012;BOOK: 2012 International Conference on Computer Systems and Industrial Informatics;Intelligent edge detector based on multiple edge maps;Intelligent Edge;https://sci-hub.do/10.1109/iccsii.2012.6454505;1;;1;;0;edge detection;;;
Google Scholar;Libri, A et al.;2020;IEEE Internet of Things Journal;pAElla: Edge-AI based Real-Time Malware Detection in Data Centers;Edge AI;https://arxiv.org/pdf/2004.03670.pdf;1;;1;;1;;1;;malware detection, ai powered edge compting, DIG archtitecture
Google Scholar;Al-Rakhami, M et al.;2019;World Wide Web;A lightweight and cost effective edge intelligence architecture based on containerization technology;Edge Intelligence;https://sci-hub.st/10.1007/s11280-019-00692-y;1;;1;;0;distributed edge/cloud integration;;;
Google Scholar;Chakraborty, I et al.;2020;Nature Machine Intelligence;Constructing energy-efficient mixed-precision neural networks through principal component analysis for edge intelligence;Edge Intelligence;https://arxiv.org/pdf/1906.01493.pdf;1;;1;;1;;1;;"DNN Modeling for AI chips"
Google Scholar;Chen, Q et al.;2020;Computer Communications;Privacy-preserving searchable encryption in the intelligent edge computing;Intelligent Edge;KEIN ZUGRIFF;0;NO ACCESS;;;;;;;
Google Scholar;Merenda, M et al.;2020;Sensors;Edge Machine Learning for AI-Enabled IoT Devices: A Review;Edge Machine Learning;https://www.mdpi.com/1424-8220/20/9/2533/pdf;1;;1;;0;edge server-based architectures;;;
Google Scholar;Huang, Z et al.;2016;BOOK: 2016 IEEE International Conference on Computer and Information Technology (CIT);Supporting edge intelligence in service-oriented smart iot applications;Edge Intelligence;https://sci-hub.st/10.1109/cit.2016.40;1;;1;;1;;1;;EI distributed system infrastructure
Google Scholar;Liu, L et al.;2020;Journal of Network and Computer Applications;Large-volume data dissemination for cellular-assisted automated driving with edge intelligence;Edge Intelligence;https://sci-hub.st/10.1016/j.jnca.2020.102535;1;;1;;1;;0;Edge/Cloud storage;
Google Scholar;Lan, Q et al.;2019;Preprint: arXiv preprint arXiv:1912.01554;An Introduction to Communication Efficient Edge Machine Learning;Edge Machine Learning;https://arxiv.org/ftp/arxiv/papers/1912/1912.01554.pdf;1;;1;;1;;1;;communication bottleneck, communication efficient edge learning
Google Scholar;Xu, C et al.;2019;BOOK: 2019 IEEE global communications conference (GLOBECOM);Sceh: smart customized e-health framework for countryside using edge ai and body sensor networks;Edge AI;https://sci-hub.st/10.1109/globecom38437.2019.9014057;1;;1;;1;;0;Model training happens in cloud;
Google Scholar;Zhang, Z et al.;2020;BOOK: IEEE INFOCOM 2020-IEEE Conference on Computer Communications;Data-driven Distributionally Robust Optimization for Edge Intelligence;Edge Intelligence;https://sci-hub.st/10.1109/infocom41043.2020.9155440;1;;1;;1;;0;Knowledge Transfer from cloud;
