Journal;Author;Year;Article;Keyword;Description;Link to pdf
IEEE Network;Zeng, L et al.;2019;Boomerang: On-demand cooperative deep neural network inference for edge intelligence on the industrial Internet of Things;Edge Intelligence;IIoT, Execution DNN inference tasks on edge;https://sci-hub.st/10.1109/mnet.001.1800506
BOOK: 2019 42nd International Conference on Telecommunications and Signal Processing (TSP);Queralta, J P et al.;2019;Edge-AI in LoRa-based health monitoring: fall detection system with fog computing and LSTM recurrent neural networks;Edge AI;LPWAN, DLA (lightweight analysis algorithms), Application: Health monitoring;https://tiers.utu.fi/static/papers/tsp2019.pdf
Preprint: arXiv preprint arXiv:2003.12172;Xu, D et al.;2020;"A Survey on Edge Intelligence/Edge Intelligence: Architectures, Challenges, and 
Applications";Edge Intelligence;Survey, Training, Caching, Inference, Offloading;https://arxiv.org/pdf/2003.12172.pdf
IEEE Internet of Things Journal;Zhang, T et al.;2020;Achieving Democracy in Edge Intelligence: A Fog-based Collaborative Learning Scheme;Edge Intelligence;collaborative learning scheme to train models on edge/fog;https://sci-hub.st/10.1109/jiot.2020.3020911
BOOK: 2019 IEEE First International Conference on Cognitive Machine Intelligence (CogMI);Wang, D et al.;2019;Social edge intelligence: Integrating human and artificial intelligence at the edge;Edge Intelligence/Artificial Intelligence at the Edge;Social Edge Intelligence Application;https://www.researchgate.net/profile/Md_Tahmid_Rashid/publication/339331911_Social_Edge_Intelligence_Integrating_Human_and_Artificial_Intelligence_at_the_Edge/links/5e684964299bf1744f72c7ea/Social-Edge-Intelligence-Integrating-Human-and-Artificial-Intelligence-at-the-Edge.pdf
IEEE Network;Xu, S et al.;2020;Edge Intelligence Assisted Gateway Defense in Cyber Security;Edge Intelligence;edge intelligence assisted gateway defense;https://sci-hub.st/10.1109/mnet.011.1900407
BOOK: 2019 IEEE International Conference on Cloud Engineering (IC2E);Rausch, T et al.;2019;Edge intelligence: The convergence of humans, things, and ai;Edge Intelligence;Edge intelligence use cases and architectures;https://dsg.tuwien.ac.at/team/trausch/pub/ic2e19-edge-intelligence.pdf
IEEE Access;Mazzia, V et al.;2020;Real-Time Apple Detection System Using Embedded Systems With Hardware Accelerators: An Edge AI Application;Edge AI;Apple detection, YOLOv3- tiny architecture;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8951147
IEEE Design & Test;Keshavarzi, A et al.;2019;Edge intelligence- On the challenging road to a trillion smart connected IoT devices;Edge Intelligence;EI vision;https://sci-hub.st/10.1109/mdat.2019.2899075
BOOK: 2018 IEEE 15th International Conference on Mobile Ad Hoc and Sensor Systems (MASS);Zhang, S et al.;2018;Enabling edge intelligence for activity recognition in smart homes;Edge Intelligence;Edge-based smart home architecture, Application Activity recognition;https://sci-hub.st/10.1109/mass.2018.00044
IEEE Transactions on Intelligent Transportation Systems;Lv, Z et al.;2020;Diversified Technologies in Internet of Vehicles Under Intelligent Edge Computing;Intelligent Edge;Caching, Reduce Energy consumption, Application: IoV;https://sci-hub.st/10.1109/tits.2020.3019756
Journal of Communications and Information Networks;Wen, D et al.;2019;An overview of data-importance aware radio resource management for edge machine learning;Edge Machine Learning;high-dimensional data from many edge devices to train models --> bottleneck, solved by: data-importance aware RRM;https://ieeexplore.ieee.org/iel7/8892389/9005366/09005429.pdf
Engineering Applications of Artificial Intelligence;Qureshi, KN et al.;2020;Trust management and evaluation for edge intelligence in the Internet of Things;Edge Intelligence;Malicious nodes identification;https://sci-hub.st/10.1016/j.engappai.2020.103756
Engineering Applications of Artificial Intelligence;Zhang, Y et al. ;2020;Distributed gas concentration prediction with intelligent edge devices in coal mine;Intelligent Edge;gas concentrations, distributed training and prediction;http://bigdata.ahu.edu.cn/upload/202004181232193xus82n5pcieufub3rnsu8r4p8v0lhxw.pdf
IEEE Internet of Things Journal;Wang, Q et al.;2020;AI at the Edge: Blockchain-Empowered Secure Multiparty Learning with Heterogeneous Models;AI at the Edge;Decentralized Multiparty Learning Structure;https://sci-hub.st/10.1109/jiot.2020.2987843
IEEE Internet of Things Journal;Liu, Y et al.;2020;Toward Edge Intelligence: Multiaccess Edge Computing for 5G and Internet of Things;Edge Intelligence;Multiaccess edge computing, edge intelligence use cases;https://www.researchgate.net/profile/Yaqiong_Liu/publication/342402668_Towards_Edge_Intelligence_Multi-Access_Edge_Computing_for_5G_and_Internet_of_Things/links/5ef44f184585153fb1b3ba32/Towards-Edge-Intelligence-Multi-Access-Edge-Computing-for-5G-and-Internet-of-Things.pdf
BOOK: ICC 2020-2020 IEEE International Conference on Communications (ICC);Wang, S et al. ;2020;Learning Centric Power Allocation for Edge Intelligence;Edge Intelligence;"centric power allocation
(LCPA)";https://arxiv.org/pdf/2007.11399
IEEE Internet of Things Journal;Tang, X et al. ;2020;Joint Multi-User DNN Partitioning and Computational Resource Allocation for Collaborative Edge Intelligence;Edge Intelligence;DNN Partitioning and computiation offloading to edge servers;https://arxiv.org/pdf/2007.09072.pdf
IEEE Internet of Things Journal;Libri, A et al.;2020;pAElla: Edge-AI based Real-Time Malware Detection in Data Centers;Edge AI;malware detection, ai powered edge compting, DIG archtitecture;https://arxiv.org/pdf/2004.03670.pdf
Nature Machine Intelligence;Chakraborty, I et al.;2020;Constructing energy-efficient mixed-precision neural networks through principal component analysis for edge intelligence;Edge Intelligence;"DNN Modeling for AI chips
";https://arxiv.org/pdf/1906.01493.pdf
BOOK: 2016 IEEE International Conference on Computer and Information Technology (CIT);Huang, Z et al.;2016;Supporting edge intelligence in service-oriented smart iot applications;Edge Intelligence;EI distributed system infrastructure;https://sci-hub.st/10.1109/cit.2016.40
Preprint: arXiv preprint arXiv:1912.01554;Lan, Q et al.;2019;An Introduction to Communication Efficient Edge Machine Learning;Edge Machine Learning;communication bottleneck, communication efficient edge learning;https://arxiv.org/ftp/arxiv/papers/1912/1912.01554.pdf
Preprint: arXiv preprint arXiv:2010.00176;Xiao, Y et al.;2020;Towards Self-learning Edge Intelligence in 6G;Edge Intelligence;edge native AI in 6G, Application: campus shuttle ;https://arxiv.org/pdf/2010.00176.pdf
IEEE Network;Wang, T et al.;2020;An Intelligent Edge-Computing-Based Method to Counter Coupling Problems in Cyber-Physical Systems;Intelligent Edge;Coupling problem algorithms;https://sci-hub.st/10.1109/mnet.011.1900251
Journal of Communications and Information Networks;Yang, X et al.;2020;Sparse Optimization for Green Edge AI Inference;Edge AI;Engergy efficiency for model inference;https://arxiv.org/pdf/2002.10080.pdf
BOOK: ICASSP 2020-2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP);Skatchkovsky, N et al.;2020;Federated Neuromorphic Learning of Spiking Neural Networks for Low-Power Edge Intelligence;Edge Intelligence;FL-based learning rule for networked on-device SNNs;https://arxiv.org/pdf/1910.09594
IEEE Journal of Selected Topics in Signal Processing;Gamanayake, CM et al. ;2020;Cluster Pruning: An Efficient Filter Pruning Method for Edge AI Vision Applications;Edge AI;CNN Computer vision, filter pruning = loss of accuracy;https://arxiv.org/pdf/2003.02449
IEEE Internet of Things Journal;Xia, J et al.;2020;A QoE-Aware Service Enhancement Strategy for Edge Artificial Intelligence Applications;Edge Artificial Intelligence;task allocation and schedule;https://sci-hub.st/10.1109/jiot.2020.2996422
ACM Transactions on Embedded Computing Systems (TECS);Romaszkan, W et al. ;2020;3PXNet: Pruned-Permuted-Packed XNOR Networks for Edge Machine Learning;Edge Machine Learning;3PXNet, mini models for accuarcy ;https://dl.acm.org/doi/pdf/10.1145/3371157
IEEE Transactions on Electron Devices;Hung, JM et al.;2020;Challenges and Trends in Developing Nonvolatile Memory-Enabled Computing Chips for Intelligent Edge Devices;Intelligent Edge;Memory-enabled computing;https://sci-hub.st/10.1109/ted.2020.2976115
IEEE Transactions on Dependable and Secure Computing;Zhang, J et al.;2020;Leakage-Resilient Authenticated Key Exchange for Edge Artificial Intelligence;Edge Artificial Intelligence;Protocol to enable edge ai security;https://sci-hub.st/10.1109/tdsc.2020.2967703
BOOK: 019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS);Wolf, Marilyn;2019;Machine Learning + Distributed IoT= Edge Intelligence;Edge Intelligence;Challenges ml on cloud, WHY DISTRIBUTED IOT?;https://sci-hub.st/10.1109/icdcs.2019.00170
IEEE Journal on Emerging and Selected Topics in Circuits and Systems;Larras, B et al.;2020;On the Distribution of Clique-Based Neural Networks for Edge AI;Edge AI;"a reduction of the number of
transmitted bits, distributed CBNNs";https://sci-hub.st/10.1109/jetcas.2020.3023481
BOOK: 2018 IEEE International Conference on Communications (ICC);Alaslani, M et al.;2018;Intelligent edge: An instantaneous detection of iot traffic load;Intelligent Edge;identify high network load;https://repository.kaust.edu.sa/bitstream/handle/10754/631292/IntelligentEdgeICC.pdf?sequence=1
Preprint: arXiv preprint arXiv:2007.13054;Qu, Y et al.;2020;Empowering the Edge Intelligence by Air-Ground Integrated Federated Learning in 6G Networks;Edge Intelligence;collaborativly train a learning model;https://arxiv.org/pdf/2007.13054.pdf
Preprint: arXiv preprint arXiv:2004.13351;Yang, K et al.;2020;Communication-Efficient Edge AI Inference Over Wireless Networks;Edge AI;communication-efficient designs for edge inference;https://arxiv.org/pdf/2004.13351
BOOK: 2019 IEEE Biomedical Circuits and Systems Conference (BioCAS);Huang, YD et al.;2019;An edge AI system-on-chip design with customized convolutional-neural-network architecture for real-time EEG-based affective computing system;Edge AI;on chip training;https://sci-hub.st/10.1109/biocas.2019.8919038
Nonlinear Theory and Its Applications, IEICE;Kaneko, T et al.;2019;A study on a low power optimization algorithm for an edge-AI device;Edge AI;training algorithm for edge AI;https://www.jstage.jst.go.jp/article/nolta/10/4/10_373/_pdf
Preprint: arXiv preprint arXiv:2008.05427;Kolomvatsos, K et al.;2020;An Intelligent Edge-Centric Queries Allocation Scheme based on Ensemble Models;Intelligent Edge;allocates the incoming queries;https://arxiv.org/pdf/2008.05427
Preprint: arXiv preprint arXiv:2003.12488;Liang, Q et al.;2020;AI on the Edge: Rethinking AI-based IoT Applications Using Specialized Edge Architectures;AI on the Edge;Testing workloads on edge architectures;https://arxiv.org/pdf/2003.12488.pdf
BOOK: 2019 IEEE International Conference on Artificial Intelligence Circuits and Systems (AICAS);Chen, TC et al.;2019;NeuroPilot: A Cross-Platform Framework for Edge-AI;Edge AI;framework for edge ai;https://sci-hub.st/10.1109/aicas.2019.8771536
Preprint: arXiv preprint arXiv:2008.00824;Lodhi, AH et al.;2020;State-of-the-art Techniques in Deep Edge Intelligence;Edge Intelligence;"Survey; Federated Learning, Distributed Computation, Compression Schemes and Conditional Computation";https://arxiv.org/pdf/2008.00824.pdf
BOOK: 2020 IEEE 6th Intl Conference on Big Data Security on Cloud (BigDataSecurity), IEEE Intl Conference on High Performance and Smart Computing,(HPSC) and IEEE Intl Conference on Intelligent Data and Security (IDS);Doku, R;2020;IFLBC: On the Edge Intelligence Using Federated Learning Blockchain Network;Edge Intelligence;blockchain technology and federated learning, privacy and security;https://sci-hub.st/10.1109/bigdatasecurity-hpsc-ids49724.2020.00047
IEEE Transactions on Circuits and Systems II: Express Briefs;Pan, J et al.;2020;A Wireless Multi-Channel Capacitive Sensor System for Efficient Glove-Based Gesture Recognition With AI at the Edge;AI at the Edge;"Reduction of sensing data, Application: Glove-based Gesture
Recognition with AI";https://sci-hub.st/10.1109/tcsii.2020.3010318
BOOK: 2019 IEEE 19th International Conference on Communication Technology (ICCT);Chen, S et al.;2019;EDGE AI for Heterogeneous and Massive IoT Networks;Edge AI;Application: Park Iot Network;https://sci-hub.st/10.1109/icct46805.2019.8947193
Preprint: arXiv preprint arXiv:2008.01553;Yang, L et al.;2020;E-Tree Learning: A Novel Decentralized Model Learning Framework for Edge AI;Edge AI;distributed machine learning frameworks for Edge AI;https://arxiv.org/pdf/2008.01553.pdf
BOOK: 2020 IEEE 63rd International Midwest Symposium on Circuits and Systems (MWSCAS);Oderhohwo, O et al.;2020;An Edge Intelligence Framework for Resource Constrained Community Area Network;Edge Intelligence;CAN, object detection and image classification CNN models;https://sci-hub.st/10.1109/mwscas48704.2020.9184597
BOOK: 2019 14th International Conference on Computer Science \& Education (ICCSE);Xie, F et al.;2019;Edge Intelligence based Co-training of CNN;Edge Intelligence;CNN propagation on edge devices;https://sci-hub.st/10.1109/iccse.2019.8845531
BOOK: 2020 IEEE 9th International Conference on Communication Systems and Network Technologies (CSNT);Mittal, V;2020;Accelerated Computer Vision Inference with AI on the Edge;AI on the Edge;deployment, converts existing applications into hardwarefriendly and inference-optimized deployable runtime packages;https://sci-hub.st/10.1109/csnt48778.2020.9115770
BOOK: 2020 7th IEEE International Conference on Cyber Security and Cloud Computing (CSCloud)/2020 6th IEEE International Conference on Edge Computing and Scalable Cloud (EdgeCom);Zhu, Z et al.;2020;Research on Edge Intelligence-based Security Analysis Method for Power Operation System;Edge Intelligence;Application: convolution attention mechanism network;https://sci-hub.st/10.1109/cscloud-edgecom49738.2020.00052
Preprint: arXiv preprint arXiv:2003.10737;Dong, C et al.;2020;UAVs as a Service: Boosting Edge Intelligence for Air-Ground Integrated Networks;Edge Intelligence;"Wireless communication, edge caching, edge computing; air-ground integrated
networks";https://arxiv.org/pdf/2003.10737.pdf
BOOK: 2019 IEEE 5th World Forum on Internet of Things (WF-IoT);Thangiah, L et al.;2019;Distribution Transformer Condition Monitoring based on Edge Intelligence for Industrial IoT;Edge Intelligence;Architecture for edge computing devices and intelligence;https://wfiot.jkjmanagement.com/papers/1570520382.pdf
BOOK: International Conference on Data Analytics and Management (ICDAM-2020);Mittal, V et al.;2020;Smart Surveillance Systems with Edge Intelligence: Convergence of Deep Learning and Edge Computing;Edge Intelligence;Application: Edge intelligence with surveillance systems;https://www.researchgate.net/profile/Bharat_Bhushan53/publication/341420546_Smart_Surveillance_Systems_with_Edge_Intelligence_Convergence_of_Deep_Learning_and_Edge_Computing/links/5ee39f30458515814a586f7f/Smart-Surveillance-Systems-with-Edge-Intelligence-Convergence-of-Deep-Learning-and-Edge-Computing.pdf
JOURNAL OF CRITICAL REVIEWS ;Vatti, RA et al.;2020;EDGE INTELLIGENCE FOR PREDICTING AND DETECTING CARDIAC PATHOLOGIES BY ANALYZING STRESS AND ANXIETY;Edge Intelligence;Application: predictive risk analysis for healthcare professionals;https://www.researchgate.net/profile/Rambabu_Vatti2/publication/344451623_JOURNAL_OF_CRITICAL_REVIEWS_EDGE_INTELLIGENCE_FOR_PREDICTING_AND_DETECTING_CARDIAC_PATHOLOGIES_BY_ANALYZING_STRESS_AND_ANXIETY/links/5f77053a299bf1b53e075818/JOURNAL-OF-CRITICAL-REVIEWS-EDGE-INTELLIGENCE-FOR-PREDICTING-AND-DETECTING-CARDIAC-PATHOLOGIES-BY-ANALYZING-STRESS-AND-ANXIETY.pdf
"BOOK: Proceedings of International Conference
on Mechanical, Electrical and Medical Intelligent System 2019";Hoshino, Y et al.;2019;Implementation of Skeleton Extraction Process from Camera Images on Edge AI Processor and its Applications;Edge AI;Edge AI Processor;http://conf.e-jikei.org/ICMEMIS/2019/proceedings/materials/proc_files/IPS/IPS06_Nakazawa/IPS06_3/Camera_ready_Manuscript_ICMEMIS2019_IPS06_A003.pdf
BOOK: 2019 IEEE International Conference on Smart Internet of Things (SmartIoT);Chen, Z et al.;2019;An artificial intelligence perspective on mobile edge computing;Edge, Artificial Intelligence;green edge intelligence;https://sci-hub.st/10.1109/smartiot.2019.00024
IEEE Network;Mukherjee, M;2020;Leveraging Intelligent Computation Offloading with Fog/Edge Computing for Tactile Internet: Advantages and Limitations;Edge, Intelligent;"Tacticle internet, intelligent
edge offloading ";https://sci-hub.st/10.1109/mnet.001.2000004
IEEE Consumer Electronics Magazine;Corcoran, P et al.;2019;Deep Learning for Consumer Devices and Services 2—AI Gets Embedded at the Edge;Edge, Learning;What is next for EI, applications of EI;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8822518&casa_token=GSjR1bRqrTYAAAAA:GuGW16i-1anD0nMhLljGFp_Zr0swgdQIu95UCsK3uwZ5CqJPJaGBN_jMf5CfI6jtVaVYHUAzMw&tag=1
IEEE Transactions on Wireless Communications;Wang, S et al. ;2020;Machine intelligence at the edge with learning centric power allocation;At the Edge, Machine, Intelligence;dominantely training on edge, application: Power Allocation;https://sci-hub.st/10.1109/twc.2020.3010522
BOOK: IEEE INFOCOM 2018-IEEE Conference on Computer Communications;Wang, S et al. ;2018;When edge meets learning: Adaptive control for resource-constrained distributed machine learning;Edge, Learning;Resource-Constrained Distributed Machine Learning;https://dsprdpub.cc.ic.ac.uk:8443/bitstream/10044/1/58765/2/Infocom_2018_distributed_ML.pdf
Future Generation Computer Systems;Alanezi, K et al.;2021;An edge-based architecture to support the execution of ambience intelligence tasks using the IoP paradigm;Edge, Intelligence;Framework architecture;https://sci-hub.st/10.1016/j.future.2020.08.001
Engineering Applications of Artificial Intelligence;Rahman, MS et al.;2020;Towards privacy preserving AI based composition framework in edge networks using fully homomorphic encryption;Edge, AI;AI-based edge service composition model;https://sci-hub.st/10.1016/j.engappai.2020.103737
Preprint: arXiv preprint arXiv:1812.02858;Park, J et al.;2018;Wireless network intelligence at the edge;Intelligence, at the edge;key building blocks;https://arxiv.org/pdf/1812.02858
CSI Communications;Pandit, MK et al.;2017;Machine learning at the edge of internet of things;Edge, Machine Learning;distributing the deep neural networks;https://www.researchgate.net/profile/Mohammad_Khalid_Pandit/publication/342436388_Machine_learning_at_the_Edge_of_Internet_of_Things/links/5ef42389299bf15a2ea08f8c/Machine-learning-at-the-Edge-of-Internet-of-Things.pdf
BOOK: 2019 IEEE 62nd International Midwest Symposium on Circuits and Systems (MWSCAS);Brennan, Robert L;2019;AI, IoT hardware and Algorithmic Considerations for Hearing aid and Extreme Edge Applications;Edge, AI; Algorithmic Considerations for edge ml;https://sci-hub.st/10.1109/mwscas.2019.8884886
Preprint: arXiv preprint arXiv:2005.03409;Queralta, JP et al.;2020;AutoSOS: Towards Multi-UAV Systems Supporting Maritime Search and Rescue with Lightweight AI and Edge Computing;Edge, AI;"distributed coordination algorithms; application maritime";https://arxiv.org/pdf/2005.03409
ZTE Communications;Yang, HH et al.;2020;Enabling Intelligence at Network Edge Network Edge: An Overview of Federated Learning;Edge, Intelligence, Learning;model compression in the federated learning system, algorithmic design;http://tech-en.zte.com.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=625
IEEE Internet of Things Journal;Gong, C et al;2020;Intelligent Cooperative Edge Computing in the Internet of Things;Edge, Intelligent;ICE computing;https://sci-hub.do/10.1109/jiot.2020.2986015
BOOK: Proceedings of the 2020 on Great Lakes Symposium on VLSI;Hao, C et al.;2020;Effective Algorithm-Accelerator Co-design for AI Solutions on Edge Devices;Edge, AI;co-design approaches;https://arxiv.org/pdf/2010.07185.pdf
IEEE Access;Guleng, S et al.;2020;Edge-Based V2X Communications With Big Data Intelligence;Edge, Intelligence;V2V application;https://sci-hub.do/10.1109/access.2020.2964707
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS;Zhu, GX et al.;2020;Broadband Analog Aggregation for Low-Latency Federated Edge Learning;Edge Learning;Federated edge learning from wirelessly distributed data;https://sci-hub.do/10.1109/twc.2019.2946245
IEEE NETWORK;Li, GL et al.;2019;EdgeLaaS: Edge Learning as a Service for Knowledge-Centric Connected Healthcare;Edge Learning;knowledge-centric connected healthcare;https://sci-hub.do/10.1109/mnet.001.1900019
IEEE COMMUNICATIONS LETTERS;Skatchkovsky, N et al.;2019;Optimizing Pipelined Computation and Communication for Latency-Constrained Edge Learning;Edge Learning;Training carried out on edge node? Communication block;https://sci-hub.do/10.1109/lcomm.2019.2922658
